,0
0,Georgia
1,Iowa
2,Maryland
3,Massachusetts
4,Missouri
5,Montana
6,New Hampshire
7,North Carolina
8,North Dakota
9,Oklahoma
10,Oregon
11,South Carolina
12,South Dakota
13,Tennessee
14,Vermont
